,Date,MSFT Price,MSFT Percent Change Rate
1362,09-02-2021,301.15,99.77470761687042
1363,09-03-2021,301.14,99.99667939565
1364,09-07-2021,300.18,99.68121139669258
1365,09-08-2021,300.21,100.00999400359782
1366,09-09-2021,297.25,99.01402351687153
1367,09-10-2021,295.71,99.48191757779647
1368,09-13-2021,296.99,100.43285651482871
1369,09-14-2021,299.79,100.94279268662245
1370,09-15-2021,304.82,101.67784115547549
1371,09-16-2021,305.22,100.13122498523721
1372,09-17-2021,299.87,98.24716597863835
1373,09-20-2021,294.3,98.1425284289859
1374,09-21-2021,294.8,100.1698946653075
1375,09-22-2021,298.58,101.28222523744913
1376,09-23-2021,299.56,100.3282202424811
1377,09-24-2021,299.35,99.92989718253439
1378,09-27-2021,294.17,98.2695840988809
1379,09-28-2021,283.52,96.37964442329265
1380,09-29-2021,284.0,100.16930022573365
1381,09-30-2021,281.92,99.26760563380283
1382,10-01-2021,289.1,102.54682179341657
1383,10-04-2021,283.11,97.92805257696298
1384,10-05-2021,288.76,101.99569072092119
1385,10-06-2021,293.11,101.50644133536501
1386,10-07-2021,294.85,100.59363378936237
1387,10-08-2021,294.85,100.0
1388,10-11-2021,294.23,99.78972358826522
1389,10-12-2021,292.88,99.54117527104646
1390,10-13-2021,296.31,101.17112810707458
1391,10-14-2021,302.75,102.17339948027404
1392,10-15-2021,304.21,100.4822460776218
1393,10-18-2021,307.29,101.01245849906316
1394,10-19-2021,308.23,100.3058999642032
1395,10-20-2021,307.41,99.73396489634364
1396,10-21-2021,310.76,101.08974984548323
1397,10-22-2021,309.16,99.48513322177888
1398,10-25-2021,308.13,99.6668391771251
1399,10-26-2021,310.11,100.64258592152665
1400,10-27-2021,323.17,104.21140885492244
1401,10-28-2021,324.35,100.36513290218771
1402,10-29-2021,331.62,102.24140588870047
1403,11-01-2021,329.37,99.32151257463362
1404,11-02-2021,333.13,101.14157330661567
1405,11-03-2021,334.0,100.26115930717738
1406,11-04-2021,336.44,100.73053892215569
1407,11-05-2021,336.06,99.88705266912376
1408,11-08-2021,336.99,100.2767362970898
1409,11-09-2021,335.95,99.69138550105345
1410,11-10-2021,330.8,98.46703378478942
1411,11-11-2021,332.43,100.49274486094318
1412,11-12-2021,336.72,101.29049724754084
1413,11-15-2021,336.07,99.80696127346162
1414,11-16-2021,339.51,101.02359627458566
1415,11-17-2021,339.12,99.8851285676416
1416,11-18-2021,341.27,100.63399386647794
1417,11-19-2021,343.11,100.5391625399244
1418,11-22-2021,339.83,99.04403835504648
1419,11-23-2021,337.68,99.36733072418563
1420,11-24-2021,337.91,100.06811182184316
1421,11-26-2021,329.68,97.56444023556567
1422,11-29-2021,336.63,102.10810482892501
1423,11-30-2021,330.59,98.20574518016814
1424,12-01-2021,330.08,99.84573036086996
1425,12-02-2021,329.49,99.82125545322347
1426,12-03-2021,323.01,98.0333242283529
1427,12-06-2021,326.19,100.98448964428346
1428,12-07-2021,334.92,102.67635427205005
1429,12-08-2021,334.97,100.01492893825392
1430,12-09-2021,333.1,99.44174105143743
1431,12-10-2021,342.54,102.83398378865205
1432,12-13-2021,339.4,99.08331873649792
1433,12-14-2021,328.34,96.74130819092515
1434,12-15-2021,334.65,101.92178839008346
1435,12-16-2021,324.9,97.08650829224564
1436,12-17-2021,323.8,99.66143428747309
1437,12-20-2021,319.91,98.79864113650402
1438,12-21-2021,327.29,102.3068988152918
1439,12-22-2021,333.2,101.80573803049282
1440,12-23-2021,334.69,100.44717887154862
1441,12-27-2021,342.45,102.31856344677163
1442,12-28-2021,341.25,99.64958388085853
1443,12-29-2021,341.95,100.20512820512819
1444,12-30-2021,339.32,99.23088170785202
1445,12-31-2021,336.32,99.11587881645644
1446,01-03-2022,334.75,99.5331826831589
1447,01-04-2022,329.01,98.28528752800597
1448,01-05-2022,316.38,96.16121090544361
1449,01-06-2022,313.88,99.20981098678804
1450,01-07-2022,314.04,100.0509748948643
1451,01-10-2022,314.27,100.07323907782447
1452,01-11-2022,314.98,100.22592038692846
1453,01-12-2022,318.27,101.04451076258809
1454,01-13-2022,304.8,95.76774436798945
1455,01-14-2022,310.2,101.77165354330708
1456,01-18-2022,302.65,97.56608639587363
1457,01-19-2022,303.33,100.22468197587972
1458,01-20-2022,301.6,99.42966406224245
1459,01-21-2022,296.03,98.15318302387266
1460,01-24-2022,296.37,100.11485322433538
1461,01-25-2022,288.49,97.34116138610521
1462,01-26-2022,296.71,102.8493188672051
1463,01-27-2022,299.84,101.05490209295272
1464,01-28-2022,308.26,102.80816435432232
1465,01-31-2022,310.98,100.88237202361643
1466,02-01-2022,308.76,99.28612772525564
1467,02-02-2022,313.46,101.52221790387355
1468,02-03-2022,301.25,96.10476615836151
1469,02-04-2022,305.94,101.55684647302905
1470,02-07-2022,300.95,98.36896123422893
1471,02-08-2022,304.56,101.19953480644625
1472,02-09-2022,311.21,102.18347780404517
1473,02-10-2022,302.38,97.16268757430674
1474,02-11-2022,295.04,97.57259077981348
1475,02-14-2022,295.0,99.98644251626897
1476,02-15-2022,300.47,101.85423728813561
1477,02-16-2022,299.5,99.67717242985987
1478,02-17-2022,290.73,97.07178631051754
1479,02-18-2022,287.93,99.03690709593093
1480,02-22-2022,287.72,99.92706560622374
1481,02-23-2022,280.27,97.41067704712914
1482,02-24-2022,294.59,105.10935883255432
1483,02-25-2022,297.31,100.92331715265286
1484,02-28-2022,298.79,100.49779691231376
1485,03-01-2022,294.95,98.71481642625254
1486,03-02-2022,300.19,101.7765723003899
1487,03-03-2022,295.92,98.57756754055765
1488,03-04-2022,289.86,97.9521492295215
1489,03-07-2022,278.91,96.22231422065826
1490,03-08-2022,275.85,98.9028718941594
1491,03-09-2022,288.5,104.5858256298713
1492,03-10-2022,285.59,98.99133448873482
1493,03-11-2022,280.07,98.0671592142582
1494,03-14-2022,276.44,98.70389545470776
1495,03-15-2022,287.15,103.87425842859209
1496,03-16-2022,294.39,102.52133031516631
1497,03-17-2022,295.22,100.28193892455587
1498,03-18-2022,300.43,101.76478558363253
1499,03-21-2022,299.16,99.57727257597443
1500,03-22-2022,304.06,101.6379195079556
1501,03-23-2022,299.49,98.49700716963757
1502,03-24-2022,304.1,101.53928344852916
1503,03-25-2022,303.68,99.8618875369944
1504,03-28-2022,310.7,102.31164383561644
1505,03-29-2022,315.41,101.5159317669778
1506,03-30-2022,313.86,99.50857613899369
1507,03-31-2022,308.31,98.23169566048556
1508,04-01-2022,309.42,100.36002724530506
1509,04-04-2022,314.97,101.79367849524918
1510,04-05-2022,310.88,98.70146363145696
1511,04-06-2022,299.5,96.33942357179619
1512,04-07-2022,301.37,100.62437395659431
1513,04-08-2022,296.97,98.54000066363608
1514,04-11-2022,285.26,96.05684075832575
1515,04-12-2022,282.06,98.87821636401878
1516,04-13-2022,287.62,101.97121179890803
1517,04-14-2022,279.83,97.29156525971767
1518,04-18-2022,280.52,100.2465782796698
1519,04-19-2022,285.3,101.70397832596608
1520,04-20-2022,286.36,100.37153873116019
1521,04-21-2022,280.81,98.06188015085905
